Date,Store,Product,Category,Price,Quantity,Payment_Method,City,Customer_Age,Customer_Gender,Weekly_Sales,Holiday_Flag
2022-10-10,Store C,Bread,Groceries,871.62,5.0,Online Payment,Phoenix,50.0,Male,4362.7,0
2023-09-12,Store C,Football,Sports,1586.23,2.0,Credit Card,Chicago,33.0,Female,3424.11,0
2022-04-08,Store D,Jeans,Clothing,1275.11,3.0,Cash,New York,55.0,,4443.75,0
2022-07-02,Store B,T-Shirt,Clothing,475.54,4.0,Credit Card,Houston,64.0,Male,1569.31,0
2023-07-03,Store B,Cheese,Groceries,1569.05,2.0,Online Payment,New York,28.0,Male,3545.73,0
2022-09-30,Store B,Tennis Racket,Sports,,7.0,Credit Card,Phoenix,51.0,Male,4294.97,0
2023-12-19,Store B,Coffee Maker,Home & Kitchen,1355.16,4.0,Cash,New York,22.0,Female,5579.87,0
2023-03-28,Store C,Bread,Groceries,1554.76,2.0,Online Payment,Houston,54.0,Male,2612.57,0
2023-05-10,Store A,Smartphone,Electronics,981.31,1.0,Cash,Los Angeles,54.0,,1075.76,0
2022-09-30,Store A,Blender,Home & Kitchen,1070.98,4.0,Credit Card,Los Angeles,36.0,Male,4843.33,0
2023-08-12,Store B,Eggs,Groceries,1985.2,7.0,Cash,New York,48.0,,11769.03,0
2022-10-10,Store C,Bread,Groceries,871.62,5.0,Online Payment,Phoenix,50.0,Male,4362.7,0
2023-10-20,Store D,Smartphone,Electronics,1917.2,,,Houston,64.0,Female,1742.31,0
2023-03-14,Store C,Microwave,Home & Kitchen,,6.0,,Chicago,56.0,Male,9216.54,0
2022-01-05,Store A,Jeans,Clothing,693.44,6.0,Cash,Chicago,58.0,Male,3476.14,0
2023-10-27,Store B,Jeans,Clothing,10.83,6.0,Online Payment,Houston,59.0,Male,53.17,0
2022-10-11,Store B,Tennis Racket,Sports,78.16,5.0,Credit Card,Phoenix,66.0,Female,368.4,0
2023-04-03,Store C,Jeans,Clothing,1618.54,4.0,Online Payment,Houston,39.0,Female,6797.94,0
2022-09-21,Store A,Bread,Groceries,1688.24,2.0,Debit Card,Phoenix,32.0,Male,3163.62,0
2022-08-04,Store C,Laptop,Electronics,1933.29,3.0,Online Payment,New York,25.0,Male,5244.02,0
2022-06-13,Store B,Basketball,Sports,1644.57,2.0,Cash,Phoenix,52.0,Female,3788.2,0
2022-05-27,Store A,Football,Sports,627.24,3.0,Debit Card,Houston,63.0,Male,1842.82,0
2022-01-11,Store D,Headphones,Electronics,1391.49,1.0,Cash,Los Angeles,28.0,Female,1643.43,1
2022-01-16,Store A,Yoga Mat,Sports,1850.87,7.0,Credit Card,Houston,24.0,,13245.3,0
2022-06-03,Store A,Headphones,Electronics,1932.66,6.0,Credit Card,Houston,68.0,Female,13258.09,0
2022-12-22,Store A,Smartwatch,Electronics,1212.94,1.0,Debit Card,New York,55.0,Female,1376.7,0
2023-01-18,Store C,Headphones,Electronics,244.31,2.0,Debit Card,Phoenix,31.0,Female,403.34,0
2023-03-15,Store C,Jacket,Clothing,1175.28,1.0,Cash,Chicago,38.0,Female,1286.64,0
2022-06-02,Store D,Blender,Home & Kitchen,50.02,2.0,Online Payment,New York,36.0,Male,115.67,0
2023-09-02,Store A,Smartwatch,Electronics,750.24,1.0,Debit Card,Phoenix,66.0,Female,604.81,0
2023-09-26,Store D,Bread,Groceries,885.85,7.0,Cash,Chicago,64.0,Male,6314.84,0
2023-04-11,Store C,Sneakers,Clothing,983.17,,Credit Card,New York,50.0,Female,1113.71,0
2023-10-20,Store A,Laptop,Electronics,90.89,5.0,Online Payment,Phoenix,60.0,Male,441.45,0
2023-07-20,Store B,Blender,Home & Kitchen,1393.58,8.0,,Los Angeles,64.0,Male,9232.93,0
2023-09-18,Store A,Smartwatch,Electronics,1886.44,4.0,Cash,Chicago,63.0,Male,6403.34,0
2022-03-27,Store C,Bread,Groceries,,2.0,Online Payment,Los Angeles,40.0,Male,3367.75,0
2022-10-04,Store C,Laptop,Electronics,230.32,1.0,Credit Card,Phoenix,58.0,Female,206.36,0
2023-01-25,Store C,Coffee Maker,Home & Kitchen,626.59,9.0,Cash,Chicago,33.0,Male,5493.28,1
2023-11-03,Store A,Sneakers,Clothing,436.0,2.0,Debit Card,Phoenix,68.0,Male,924.39,0
2023-08-17,Store D,Football,Sports,1848.53,9.0,Debit Card,Houston,49.0,Female,15537.34,0
2023-10-17,Store D,Football,Sports,407.58,7.0,Debit Card,Los Angeles,32.0,Female,3150.23,0
2022-11-10,Store A,Basketball,Sports,75.45,1.0,Online Payment,Los Angeles,37.0,Male,60.69,0
2022-11-16,Store D,Jeans,Clothing,851.47,1.0,Online Payment,Los Angeles,42.0,Male,781.8,0
2023-07-10,Store B,Tennis Racket,Sports,551.55,2.0,Online Payment,Chicago,40.0,Female,899.67,0
2023-08-22,Store C,Bread,Groceries,1501.77,,Debit Card,Houston,35.0,,9798.55,0
2023-01-20,Store B,Football,Sports,459.73,9.0,Cash,New York,56.0,,4663.89,0
2023-07-19,Store B,Jacket,Clothing,1889.81,3.0,Online Payment,Phoenix,63.0,Female,5096.47,0
2022-08-21,Store B,Bread,Groceries,569.19,3.0,Online Payment,Houston,68.0,Male,1601.76,0
2023-10-18,Store A,Milk,Groceries,1951.82,,Credit Card,Los Angeles,45.0,Female,6546.84,0
2022-07-14,Store B,Tennis Racket,Sports,1878.44,1.0,Online Payment,New York,38.0,Female,1900.02,0
2022-07-07,Store A,Headphones,Electronics,1192.85,1.0,Online Payment,New York,51.0,Male,1295.41,0
2022-10-24,Store A,Cheese,Groceries,1562.5,5.0,Online Payment,New York,46.0,Female,8803.46,0
2022-03-07,Store C,Football,Sports,713.99,9.0,,New York,43.0,Male,6565.29,0
2022-07-05,Store B,Yoga Mat,Sports,1073.7,4.0,,Phoenix,30.0,Female,4439.79,0
2022-04-02,Store A,Bread,Groceries,1701.91,9.0,Debit Card,New York,59.0,Male,14300.18,0
2022-03-01,Store C,Jacket,Clothing,1344.49,9.0,Debit Card,Phoenix,50.0,Female,10142.73,0
2023-10-19,Store D,Yoga Mat,Sports,1584.82,3.0,Online Payment,Los Angeles,59.0,Male,4720.75,0
2023-07-01,Store C,Milk,Groceries,425.36,9.0,Online Payment,New York,67.0,Female,4277.51,1
2022-01-22,Store A,Laptop,Electronics,267.01,3.0,Cash,Chicago,45.0,Female,945.49,0
2023-09-05,Store A,Jacket,Clothing,171.63,7.0,Online Payment,Phoenix,54.0,Male,985.78,0
2023-07-21,Store A,Eggs,Groceries,1666.71,8.0,Credit Card,New York,24.0,Female,14901.37,1
2023-03-21,Store C,Smartphone,Electronics,,3.0,Credit Card,Los Angeles,66.0,Male,5458.46,0
2022-09-03,Store A,Smartwatch,Electronics,722.18,7.0,Cash,Chicago,41.0,Female,4893.05,0
2022-12-04,Store D,Football,Sports,1882.84,9.0,Debit Card,Phoenix,46.0,Female,20201.61,0
2022-03-22,Store B,Microwave,Home & Kitchen,1765.82,8.0,Cash,New York,22.0,Female,12257.12,1
2022-06-30,Store D,Cheese,Groceries,568.53,7.0,Credit Card,Houston,58.0,Female,4665.83,0
2023-06-19,Store A,Sneakers,Clothing,977.82,4.0,Credit Card,Chicago,52.0,Male,3765.95,0
2023-12-02,Store C,Yoga Mat,Sports,1453.49,3.0,Debit Card,Houston,54.0,Female,3904.08,0
2022-05-18,Store C,Basketball,Sports,1853.54,1.0,Credit Card,New York,51.0,Male,1674.3,0
2023-10-08,Store D,Laptop,Electronics,1579.92,6.0,Online Payment,New York,60.0,Female,9636.39,0
2023-09-15,Store B,Tennis Racket,Sports,1492.15,1.0,Online Payment,Phoenix,54.0,Female,1530.62,0
2023-12-28,Store A,Blender,Home & Kitchen,1345.69,3.0,Credit Card,New York,39.0,Female,3981.52,0
2023-06-18,Store D,Vacuum,Home & Kitchen,1955.11,3.0,Credit Card,Chicago,48.0,Female,5466.85,0
2023-07-24,Store C,Coffee Maker,Home & Kitchen,1433.52,9.0,Credit Card,New York,36.0,Female,12111.51,0
2022-03-16,Store D,Microwave,Home & Kitchen,1731.69,6.0,Cash,Houston,55.0,Female,12364.55,0
2023-03-20,Store A,Tennis Racket,Sports,656.67,8.0,Cash,New York,22.0,Female,5820.71,0
2023-03-21,Store C,Milk,Groceries,759.09,7.0,Credit Card,Houston,56.0,Female,5152.57,1
2023-05-25,Store B,Laptop,Electronics,124.89,9.0,,Houston,27.0,Female,1236.94,0
2023-03-14,Store B,Smartwatch,Electronics,240.85,6.0,Debit Card,Chicago,50.0,Male,1614.54,0
2023-08-11,Store D,Bread,Groceries,230.65,9.0,Debit Card,Chicago,36.0,Male,2233.22,0
2022-08-17,Store C,Milk,Groceries,1514.3,2.0,Credit Card,Phoenix,26.0,Female,2456.16,0
2023-10-17,Store B,Yoga Mat,Sports,1500.95,,Online Payment,Los Angeles,19.0,Female,3204.32,0
2023-07-02,Store C,Yoga Mat,Sports,1287.64,2.0,Credit Card,Chicago,37.0,Male,2979.78,0
2023-07-01,Store D,Sneakers,Clothing,1693.02,1.0,,New York,47.0,Male,1799.83,0
2023-11-25,Store A,Jeans,Clothing,685.78,5.0,Credit Card,Houston,34.0,,3684.72,0
2022-05-30,Store A,Microwave,Home & Kitchen,929.08,7.0,Debit Card,Phoenix,68.0,Female,7634.9,0
2023-10-15,Store B,Coffee Maker,Home & Kitchen,738.23,8.0,Cash,Phoenix,32.0,Female,5854.42,0
2022-07-21,Store B,Smartphone,Electronics,46.24,2.0,Online Payment,New York,28.0,Male,102.86,0
2023-05-20,Store A,Bread,Groceries,1406.75,4.0,Cash,New York,21.0,Female,6024.1,0
2022-10-03,Store C,Sneakers,Clothing,444.35,1.0,Credit Card,Houston,26.0,Male,486.57,0
2023-11-02,Store D,Basketball,Sports,1609.97,8.0,Online Payment,Chicago,25.0,Male,13129.21,0
2023-06-09,Store D,Milk,Groceries,1403.23,4.0,Cash,Los Angeles,47.0,Male,6394.65,0
2023-11-30,Store B,Cheese,Groceries,1210.6,3.0,Cash,New York,20.0,Male,4057.54,1
2022-08-05,Store B,Vacuum,Home & Kitchen,1796.35,8.0,Credit Card,Phoenix,57.0,Female,13366.51,1
2023-01-04,Store D,T-Shirt,Clothing,1738.57,2.0,Credit Card,New York,44.0,Male,3409.17,0
2023-08-22,Store D,Football,Sports,1589.39,2.0,Debit Card,Chicago,59.0,Male,3735.24,0
2022-03-07,Store A,Milk,Groceries,633.26,8.0,Online Payment,New York,26.0,Female,4193.99,0
2023-02-23,Store B,Jeans,Clothing,158.22,3.0,Debit Card,Phoenix,65.0,Male,423.68,0
2023-10-28,Store D,Smartphone,Electronics,,6.0,,New York,68.0,Male,581.38,0
2023-02-10,Store D,Football,Sports,1574.57,3.0,Online Payment,Houston,51.0,Male,5011.34,1
2022-07-18,Store D,Vacuum,Home & Kitchen,628.63,8.0,Debit Card,Phoenix,56.0,Female,5897.45,0
2022-11-12,Store B,Coffee Maker,Home & Kitchen,7.69,4.0,Online Payment,New York,27.0,Female,28.0,0
2022-12-22,Store B,Eggs,Groceries,271.29,4.0,Cash,Houston,52.0,,889.76,1
2022-12-09,Store D,Laptop,Electronics,1626.91,2.0,Credit Card,Los Angeles,,Female,3534.29,0
2022-04-05,Store D,T-Shirt,Clothing,1759.16,8.0,Credit Card,Houston,31.0,Female,12042.49,0
2022-05-31,Store B,Sneakers,Clothing,,3.0,Cash,New York,,Male,2684.07,0
2023-01-22,Store B,Headphones,Electronics,627.34,6.0,Credit Card,Houston,66.0,Male,3357.46,0
2023-07-29,Store A,Microwave,Home & Kitchen,105.89,,Debit Card,New York,53.0,Male,94.11,0
2022-08-03,Store A,Blender,Home & Kitchen,1581.08,2.0,Credit Card,Chicago,43.0,Female,3269.1,1
2022-09-09,Store B,Jeans,Clothing,764.88,7.0,Cash,Houston,55.0,Male,5732.96,0
2023-12-13,Store C,Eggs,Groceries,1653.97,5.0,Credit Card,Chicago,54.0,Female,6942.5,0
2022-07-28,Store C,Basketball,Sports,905.28,,Debit Card,Chicago,38.0,Male,8458.32,0
2022-03-09,Store B,Headphones,Electronics,358.28,2.0,Credit Card,Phoenix,23.0,Female,585.12,1
2023-06-08,Store A,Smartwatch,Electronics,809.05,4.0,Credit Card,Los Angeles,22.0,Female,3091.18,0
2022-10-27,Store B,T-Shirt,Clothing,458.83,5.0,Credit Card,Chicago,22.0,Male,2140.65,1
2022-07-30,Store B,Laptop,Electronics,1809.2,5.0,Cash,Los Angeles,66.0,Female,7652.18,1
2023-05-12,Store B,Tennis Racket,Sports,,8.0,Online Payment,Los Angeles,61.0,Male,11683.65,0
2022-09-08,Store D,Bread,Groceries,1750.03,2.0,Credit Card,Houston,56.0,Female,4114.77,0
2023-12-28,Store D,Tennis Racket,Sports,1600.71,1.0,Debit Card,New York,26.0,Female,1590.96,0
2022-10-08,Store D,Headphones,Electronics,,8.0,Credit Card,Houston,18.0,Male,12000.11,0
2023-09-19,Store B,Football,Sports,1389.43,4.0,Credit Card,Phoenix,37.0,Female,6038.31,0
2023-06-24,Store C,Microwave,Home & Kitchen,,,Online Payment,Chicago,,Female,3080.48,0
2022-09-30,Store C,Blender,Home & Kitchen,601.97,1.0,Cash,Los Angeles,66.0,Male,556.75,0
2022-01-01,Store B,Eggs,Groceries,782.8,3.0,Credit Card,New York,62.0,Female,2264.82,1
2023-03-26,Store B,Basketball,Sports,1337.4,3.0,Credit Card,Los Angeles,23.0,Male,4232.22,0
2023-03-03,Store A,Microwave,Home & Kitchen,1552.35,3.0,Debit Card,Chicago,25.0,Female,4090.02,0
2022-12-17,Store A,Vacuum,Home & Kitchen,716.75,7.0,Credit Card,Phoenix,65.0,Female,4605.98,0
2023-06-20,Store B,Blender,Home & Kitchen,1451.09,9.0,Cash,Phoenix,55.0,Male,15481.09,0
2022-03-27,Store D,Laptop,Electronics,989.49,4.0,Debit Card,Los Angeles,30.0,Male,3643.18,0
2022-09-17,Store B,Smartwatch,Electronics,1268.21,8.0,Cash,Phoenix,69.0,Male,11419.86,0
2023-06-05,Store A,Milk,Groceries,279.57,3.0,Credit Card,Los Angeles,53.0,Male,973.99,0
2022-08-27,Store B,Cheese,Groceries,1582.09,4.0,Credit Card,New York,35.0,Male,6766.52,0
2023-03-28,Store B,Jeans,Clothing,1889.1,6.0,Online Payment,New York,65.0,Male,9997.05,0
2023-07-27,Store C,Milk,Groceries,524.17,3.0,Debit Card,New York,41.0,Male,1734.94,0
2023-05-07,Store A,T-Shirt,Clothing,100.92,1.0,Online Payment,New York,41.0,Female,81.33,1
2023-08-04,Store A,Yoga Mat,Sports,1662.09,2.0,Credit Card,Chicago,26.0,Female,2824.62,0
2023-07-02,Store A,T-Shirt,Clothing,1081.99,3.0,Cash,Los Angeles,62.0,Male,3369.42,0
2023-03-09,Store C,Milk,Groceries,1645.88,5.0,Cash,Houston,55.0,Female,9002.72,0
2023-01-04,Store A,Jeans,Clothing,180.96,4.0,Credit Card,Los Angeles,39.0,Female,588.03,1
2023-12-03,Store D,Smartwatch,Electronics,1977.1,9.0,Cash,Los Angeles,37.0,Female,16033.34,0
2023-10-28,Store D,Laptop,Electronics,31.12,5.0,Debit Card,Houston,58.0,Male,156.54,1
2023-10-27,Store A,Football,Sports,,7.0,Credit Card,Los Angeles,57.0,Male,5061.34,0
2023-11-01,Store B,Cheese,Groceries,861.22,2.0,Cash,New York,65.0,Male,1772.98,0
2022-10-27,Store B,Headphones,Electronics,894.42,5.0,Credit Card,New York,26.0,Female,4117.57,0
2023-02-26,Store A,Smartwatch,Electronics,1061.67,5.0,Debit Card,Chicago,39.0,Male,6289.99,0
2023-01-14,Store D,Sneakers,Clothing,815.89,4.0,Cash,Houston,57.0,Female,2716.16,0
2023-02-20,Store B,Cheese,Groceries,601.18,8.0,Debit Card,New York,37.0,Female,5670.04,0
2022-09-27,Store A,Football,Sports,502.84,6.0,Online Payment,New York,23.0,Male,2931.22,0
2023-12-24,Store D,Milk,Groceries,1225.23,6.0,Online Payment,Chicago,36.0,Male,8565.95,0
2023-04-28,Store B,Coffee Maker,Home & Kitchen,335.01,2.0,Debit Card,New York,67.0,Male,799.72,1
2023-06-12,Store D,Tennis Racket,Sports,1027.67,1.0,Cash,Phoenix,47.0,Female,1015.09,0
2022-10-26,Store A,Tennis Racket,Sports,735.4,1.0,Credit Card,New York,19.0,Male,872.36,0
2023-08-10,Store D,Jacket,Clothing,1513.75,7.0,Credit Card,Chicago,21.0,Female,10470.45,0
2023-06-01,Store D,Football,Sports,120.4,7.0,Online Payment,Houston,66.0,Female,972.18,1
2023-06-14,Store A,T-Shirt,Clothing,1826.04,5.0,Cash,Los Angeles,36.0,Female,7905.29,0
2023-06-07,Store D,Jeans,Clothing,87.95,3.0,Online Payment,Chicago,55.0,Male,283.83,0
2023-10-06,Store D,Smartphone,Electronics,367.95,7.0,Credit Card,Houston,27.0,Male,3035.26,0
2023-09-28,Store A,Smartwatch,Electronics,1659.64,3.0,Online Payment,Chicago,55.0,Male,5721.28,0
2023-10-14,Store B,Sneakers,Clothing,389.78,,Debit Card,Houston,34.0,Male,2465.33,0
2022-12-13,Store B,Blender,Home & Kitchen,,3.0,Debit Card,New York,69.0,Female,2447.43,0
2022-08-09,Store C,Jeans,Clothing,1249.67,6.0,,Los Angeles,69.0,Male,7276.33,0
2023-04-20,Store C,Basketball,Sports,1863.66,1.0,Cash,New York,56.0,Male,2089.66,0
2022-01-31,Store C,Milk,Groceries,1652.5,5.0,Debit Card,Los Angeles,,Female,9067.29,0
2022-05-11,Store C,Bread,Groceries,1394.1,8.0,Debit Card,New York,56.0,Male,10889.74,0
2023-09-20,Store D,Basketball,Sports,603.36,1.0,Online Payment,Houston,65.0,Female,523.24,0
2023-11-27,Store B,Smartwatch,Electronics,1424.89,9.0,Credit Card,Chicago,35.0,Female,11383.19,0
2022-01-26,Store A,Yoga Mat,Sports,428.03,8.0,Cash,Houston,25.0,Male,3302.38,0
2022-06-10,Store B,Laptop,Electronics,1772.53,2.0,Debit Card,Los Angeles,47.0,Female,2870.65,0
2023-06-10,Store D,Smartwatch,Electronics,1448.19,5.0,Cash,Houston,21.0,Female,7472.61,0
2023-08-09,Store B,T-Shirt,Clothing,1071.45,2.0,Cash,Houston,62.0,Female,2339.08,0
2022-12-09,Store D,Yoga Mat,Sports,1221.21,5.0,Credit Card,Chicago,31.0,Female,6625.36,0
2023-02-04,Store C,Cheese,Groceries,825.33,1.0,Credit Card,New York,38.0,Female,977.57,0
2023-03-14,Store B,Smartwatch,Electronics,1168.47,8.0,Credit Card,Los Angeles,37.0,Female,7833.08,0
2023-10-20,Store A,Eggs,Groceries,802.81,4.0,Online Payment,New York,24.0,Female,3626.36,0
2022-05-19,Store A,Laptop,Electronics,156.02,,Debit Card,Houston,65.0,Male,1574.67,1
2022-08-25,Store A,Football,Sports,888.44,7.0,Debit Card,Chicago,33.0,Female,5495.42,0
2023-04-22,Store C,Smartwatch,Electronics,1439.56,7.0,Credit Card,Phoenix,35.0,Male,9826.61,0
2023-05-27,Store B,Blender,Home & Kitchen,1106.22,5.0,Cash,Los Angeles,19.0,Female,4916.21,0
2022-01-05,Store A,Microwave,Home & Kitchen,,9.0,Cash,Houston,67.0,Male,8786.42,0
2023-04-06,Store B,Coffee Maker,Home & Kitchen,1371.04,3.0,Credit Card,Phoenix,22.0,Female,4643.77,1
2022-03-09,Store B,Basketball,Sports,1960.32,9.0,Online Payment,New York,39.0,Male,18021.93,0
2022-03-07,Store B,Blender,Home & Kitchen,1177.46,2.0,Debit Card,Los Angeles,30.0,Male,2196.66,0
2022-06-02,Store D,Laptop,Electronics,997.44,7.0,Online Payment,Los Angeles,44.0,Male,5883.32,0
2023-05-26,Store A,Cheese,Groceries,185.13,,Online Payment,Houston,33.0,Female,159.26,0
2022-12-14,Store C,Sneakers,Clothing,492.1,3.0,Online Payment,New York,30.0,Female,1211.25,0
2023-06-06,Store A,Headphones,Electronics,1530.48,9.0,Credit Card,Houston,23.0,Female,16043.33,0
2022-03-24,Store A,Bread,Groceries,859.17,9.0,Cash,New York,47.0,Male,7087.21,0
2023-12-29,Store A,Smartphone,Electronics,1411.22,3.0,Cash,Chicago,57.0,Female,4582.84,0
2023-08-12,Store B,Smartphone,Electronics,161.76,6.0,Credit Card,Houston,43.0,Male,901.49,1
2022-06-22,Store A,Vacuum,Home & Kitchen,90.05,1.0,Credit Card,Houston,38.0,,75.99,0
2022-03-04,Store D,Coffee Maker,Home & Kitchen,749.84,9.0,Cash,Phoenix,57.0,Female,7505.94,0
2023-05-30,Store C,Headphones,Electronics,1995.26,7.0,Cash,Phoenix,58.0,Male,13741.4,0
2023-04-01,Store D,Basketball,Sports,239.46,9.0,Online Payment,Phoenix,45.0,Male,2365.66,0
2022-09-08,Store D,T-Shirt,Clothing,119.5,3.0,Online Payment,Houston,43.0,Male,369.57,0
2023-07-10,Store D,Bread,Groceries,316.98,4.0,Cash,Chicago,60.0,Male,1031.38,0
2023-04-14,Store A,Coffee Maker,Home & Kitchen,8.75,7.0,Credit Card,Chicago,21.0,Male,49.08,0
2023-01-29,Store C,Microwave,Home & Kitchen,1557.08,9.0,Online Payment,New York,30.0,Male,12133.45,0
2022-04-01,Store D,Tennis Racket,Sports,1244.11,6.0,Credit Card,Phoenix,42.0,Male,8384.18,0
2022-03-10,Store B,T-Shirt,Clothing,158.9,2.0,Online Payment,Chicago,20.0,Male,262.19,0
2023-05-04,Store C,Milk,Groceries,1372.46,5.0,Debit Card,Houston,56.0,Female,5687.78,0
2022-02-08,Store C,Cheese,Groceries,1007.47,6.0,Cash,New York,47.0,Male,5988.82,0
2022-03-20,Store C,Football,Sports,430.1,3.0,Credit Card,Phoenix,39.0,Female,1487.97,0
2023-03-22,Store D,Smartwatch,Electronics,922.03,3.0,Cash,Los Angeles,61.0,Female,2396.26,0
2023-12-18,Store B,Eggs,Groceries,736.52,8.0,Online Payment,Houston,52.0,Female,6755.31,0
2022-03-25,Store D,Sneakers,Clothing,997.59,,Online Payment,Houston,65.0,Male,3518.64,0
2022-12-16,Store A,Smartphone,Electronics,615.57,2.0,Cash,Los Angeles,51.0,Male,1019.89,0
2023-04-27,Store B,Jacket,Clothing,1819.31,1.0,Cash,Los Angeles,54.0,Female,2053.09,0
2023-03-26,Store D,Smartwatch,Electronics,1934.27,8.0,Online Payment,Phoenix,49.0,Male,13380.02,0
2022-09-28,Store B,Headphones,Electronics,181.54,7.0,Debit Card,Los Angeles,38.0,Male,1281.37,1
2023-05-21,Store B,T-Shirt,Clothing,1322.47,2.0,Debit Card,Houston,56.0,,2175.42,0
2022-12-18,Store A,Headphones,Electronics,970.3,8.0,Cash,New York,,Male,7165.25,1
2022-08-30,Store C,Eggs,Groceries,656.29,2.0,Debit Card,Los Angeles,47.0,Female,1330.56,0
2022-02-27,Store C,Milk,Groceries,161.52,5.0,Online Payment,Phoenix,26.0,Female,705.63,0
2022-12-12,Store C,T-Shirt,Clothing,1432.07,8.0,Debit Card,Chicago,33.0,Male,10737.33,0
2022-08-08,Store A,Football,Sports,96.78,1.0,Cash,Phoenix,22.0,Female,89.48,1
2023-10-23,Store A,Blender,Home & Kitchen,288.65,1.0,Online Payment,New York,34.0,Female,284.03,0
2023-12-05,Store A,Football,Sports,101.18,9.0,Credit Card,New York,30.0,Female,1044.09,1
2023-12-27,Store B,Bread,Groceries,1048.67,3.0,Cash,Phoenix,69.0,Male,3033.83,0
2023-11-22,Store D,Milk,Groceries,1542.63,1.0,Debit Card,Houston,42.0,Male,1802.26,0
2023-10-04,Store C,Vacuum,Home & Kitchen,1659.48,5.0,Online Payment,Houston,63.0,Female,8226.03,0
2023-02-28,Store C,Jeans,Clothing,168.61,3.0,Online Payment,Houston,53.0,Female,495.17,1
2023-09-06,Store C,Basketball,Sports,1117.78,2.0,Credit Card,Chicago,39.0,Female,2187.59,0
2023-01-08,Store A,Sneakers,Clothing,573.32,3.0,Cash,Los Angeles,47.0,Male,1775.64,0
2022-12-14,Store C,Yoga Mat,Sports,1995.51,4.0,Online Payment,Phoenix,42.0,Male,7665.01,0
2022-05-31,Store B,Jeans,Clothing,104.79,4.0,Credit Card,Chicago,63.0,Female,337.63,0
2022-11-10,Store C,Vacuum,Home & Kitchen,1196.21,2.0,Online Payment,Phoenix,35.0,Male,2270.12,0
2022-05-06,Store B,Laptop,Electronics,1903.86,2.0,Online Payment,Los Angeles,64.0,Male,4528.29,0
2022-07-18,Store B,T-Shirt,Clothing,516.54,1.0,Cash,Los Angeles,48.0,Female,556.15,0
